ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,UBW,UBL
1,Adelaide,Next Generation Adelaide International,12/31/2007,International,Outdoor,Hard,1st Round,3,Querrey S.,Darcis S.,63,86,573,474,7,5,6,4,,,,,,,2,0,Completed,1.53,2.37,1.63,2.2,1.533,2.375,1.667,2.4,1.6,2.3
1,Adelaide,Next Generation Adelaide International,12/31/2007,International,Outdoor,Hard,1st Round,3,Sirianni J.,Stepanek R.,195,30,218,930,7,6,4,3,,,,,,,1,0,Retired,6.5,1.1,5.5,1.13,5.5,1.125,5.94,1.184,6.3,1.11
1,Adelaide,Next Generation Adelaide International,12/31/2007,International,Outdoor,Hard,1st Round,3,Russell M.,Del Potro J.M.,82,44,481,690,6,3,6,3,,,,,,,2,0,Completed,3.75,1.25,3.75,1.25,3.4,1.3,3.55,1.364,3.4,1.3
1,Adelaide,Next Generation Adelaide International,12/31/2007,International,Outdoor,Hard,1st Round,3,Becker B.,Smeets R.,84,150,476,286,3,6,6,4,6,2,,,,,2,1,Completed,1.4,2.75,1.4,2.85,1.4,2.75,1.538,2.76,1.4,2.85
1,Adelaide,Next Generation Adelaide International,12/31/2007,International,Outdoor,Hard,1st Round,3,Zverev M.,Mayer F.,88,55,468,611,6,3,6,3,,,,,,,2,0,Completed,1.72,2,1.75,2,1.909,1.8,1.893,2.02,1.92,1.84
1,Adelaide,Next Generation Adelaide International,12/31/2007,International,Outdoor,Hard,1st Round,3,Llodra M.,Simon G.,93,29,460,955,7,6,6,3,,,,,,,2,0,Completed,2.5,1.5,2.5,1.5,2.375,1.533,2.34,1.694,2.4,1.54
1,Adelaide,Next Generation Adelaide International,01/01/2008,International,Outdoor,Hard,1st Round,3,Mathieu P.H.,Benneteau J.,25,68,1320,540,7,6,7,5,,,,,,,2,0,Completed,1.44,2.62,1.44,2.67,1.5,2.5,1.538,2.76,1.52,2.45
1,Adelaide,Next Generation Adelaide International,01/01/2008,International,Outdoor,Hard,1st Round,3,Korolev E.,Jones A.,80,131,487,338,6,2,7,6,,,,,,,2,0,Completed,,,,,,,,,,
1,Adelaide,Next Generation Adelaide International,01/01/2008,International,Outdoor,Hard,1st Round,3,Guccione C.,Odesnik W.,91,126,462,357,7,5,7,6,,,,,,,2,0,Completed,1.57,2.25,1.6,2.3,1.571,2.25,1.592,2.59,1.67,2.15
1,Adelaide,Next Generation Adelaide International,01/01/2008,International,Outdoor,Hard,1st Round,3,Nieminen J.,Klec I.,27,224,995,184,6,2,6,4,,,,,,,2,0,Completed,1.16,4.5,1.2,4.25,1.167,4.5,1.2,5.5,1.18,4.6
1,Adelaide,Next Generation Adelaide International,01/01/2008,International,Outdoor,Hard,1st Round,3,Tsonga J.W.,Hanescu V.,43,76,714,517,6,3,4,6,7,5,,,,,2,1,Completed,1.28,3.5,1.35,3.1,1.286,3.5,1.364,3.55,1.33,3.2
1,Adelaide,Next Generation Adelaide International,01/01/2008,International,Outdoor,Hard,1st Round,3,Spadea V.,Grosjean S.,77,53,515,621,4,6,6,1,6,3,,,,,2,1,Completed,2.87,1.38,3.1,1.35,2.625,1.444,2.94,1.467,2.68,1.45
1,Adelaide,Next Generation Adelaide International,01/01/2008,International,Outdoor,Hard,1st Round,3,Acasuso J.,Falla A.,65,81,566,481,6,3,7,6,,,,,,,2,0,Completed,1.8,1.9,1.8,1.95,1.833,1.833,2.03,1.885,1.84,1.92
